Product_ID,Gender,Age,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
P00054542,F,26-35,1,2,3,11730
P00278942,M,36-45,1,2,3,15766
P00251642,M,0-17,1,2,4,4211
P0096642,F,51-55,2,3,4,13055
P00145042,F,0-17,1,2,5,19283
P00053942,F,0-17,1,2,5,19442
P00112642,F,18-25,1,2,5,19473
P00037142,M,18-25,1,2,5,15772
P00014842,F,18-25,1,2,5,11449
P00145042,M,26-35,1,2,5,15665
P00110842,F,26-35,1,2,5,19327
P00037142,M,26-35,1,2,5,15769
P00117042,M,26-35,1,2,5,15482
P00110842,F,26-35,1,2,5,15239
P00221342,F,26-35,1,2,5,11493
P00221342,F,36-45,1,2,5,15705
P00288942,M,36-45,1,2,5,15371
P00037142,M,36-45,1,2,5,7824
P00251942,M,36-45,1,2,5,11408
P00053942,M,36-45,1,2,5,7944
P00145042,F,46-50,1,2,5,19681
P00127942,M,55+,1,2,5,11605
P00166942,F,0-17,2,4,5,16187
P00190042,F,18-25,3,4,5,13551
P00350942,M,18-25,3,4,5,10783
P00000142,M,18-25,3,4,5,13353
P00190042,F,18-25,3,4,5,13400
P00189842,M,18-25,3,4,5,5596
P00190142,M,26-35,3,4,5,10766
P00216342,M,26-35,3,4,5,11031
P00289942,M,26-35,3,4,5,13575
P00350942,F,26-35,3,4,5,10930
P00289942,M,36-45,3,4,5,13253
P00190042,M,46-50,3,4,5,13251
P00289942,M,46-50,3,4,5,13717
P00100442,F,51-55,2,4,5,16018
P00216342,M,55+,3,4,5,10592
P00042142,M,26-35,1,2,6,11458
P00143642,M,26-35,1,2,6,11893
P00057942,M,36-45,1,2,6,11612
P00042142,M,51-55,1,2,6,15383
P00182142,F,36-45,1,5,6,15654
P00182342,M,46-50,1,5,6,12107
P00182142,M,46-50,1,5,6,19064
P00173942,F,46-50,1,5,6,11814
P00110742,M,18-25,1,2,8,15308
P00110742,M,26-35,1,2,8,15824
P00016342,F,26-35,1,2,8,11977
P00085942,F,18-25,2,4,8,15895
P00223842,F,18-25,2,4,8,3460
P00085942,F,36-45,2,4,8,16352
P00223842,F,36-45,2,4,8,3489
P00195842,F,46-50,3,4,8,7962
P00003442,F,0-17,4,5,8,2129
P00116842,M,36-45,2,5,8,13009
P00113242,M,18-25,1,6,8,19391
P00113242,M,26-35,1,6,8,15466
P00184442,M,26-35,1,6,8,15571
P00113242,F,36-45,1,6,8,11562
P00177442,M,36-45,1,6,8,15354
P00113242,M,36-45,1,6,8,19586
P00080342,M,36-45,1,6,8,15907
P00270542,M,46-50,1,6,8,11647
P00004242,F,46-50,1,6,8,11809
P00156742,M,51-55,5,6,8,1787
P00192542,M,18-25,1,2,9,15212
P00192542,M,18-25,1,2,9,7734
P00192542,M,26-35,1,2,9,15726
P00025442,M,26-35,1,2,9,15212
P00201342,M,36-45,1,2,9,8012
P00025442,M,36-45,1,2,9,19706
P00025442,M,36-45,1,2,9,15255
P00063342,M,51-55,1,2,9,12101
P00198142,F,0-17,2,4,9,12746
P00190742,F,18-25,3,4,9,10754
P00182642,F,36-45,2,4,9,12909
P0094542,F,36-45,2,4,9,16406
P00198142,M,36-45,2,4,9,13272
P00190742,M,51-55,3,4,9,8287
P00206442,M,18-25,1,5,9,15361
P00206442,M,18-25,1,5,9,3931
P00030942,M,26-35,4,5,9,2826
P00035842,M,26-35,5,6,9,6923
P00151842,F,18-25,4,8,9,2802
P00266642,M,26-35,1,8,9,7730
P00102642,M,26-35,4,8,9,2832
P00266642,M,46-50,1,8,9,15253
P00277642,F,46-50,2,3,10,12828
P00109242,M,26-35,6,8,10,20529
P00109242,M,26-35,6,8,10,15969
P00241642,F,26-35,1,2,11,19621
P00198742,F,46-50,1,2,11,11446
P00051942,M,18-25,5,6,11,6901
P00051942,F,46-50,5,6,11,3540
P00058142,M,0-17,3,4,12,8290
P00137642,F,0-17,3,4,12,11000
P00035542,F,0-17,3,4,12,10769
P0096542,F,18-25,3,4,12,5780
P00074142,F,18-25,3,4,12,3126
P00074142,M,18-25,3,4,12,8224
P00004842,F,18-25,3,4,12,5711
P00137642,M,18-25,3,4,12,5697
P00119142,M,26-35,3,4,12,13557
P00119142,M,26-35,3,4,12,5423
P00064042,M,55+,3,4,12,8248
P00053842,M,26-35,4,5,12,1460
P00031842,M,36-45,1,5,12,7601
P00113142,M,36-45,1,5,12,15628
P0096442,F,51-55,4,5,12,2074
P00119742,M,26-35,5,8,12,7019
P00245642,F,26-35,5,11,12,7175
P00245642,M,55+,5,11,12,8629
P00222242,F,18-25,1,2,13,15182
P00015542,M,18-25,1,2,13,11513
P00015542,M,26-35,1,2,13,8162
P00062842,F,26-35,1,2,13,11653
P00062842,F,36-45,1,2,13,3843
P00158542,F,18-25,5,6,13,5430
P00194642,M,18-25,1,6,13,8081
P00149542,M,18-25,1,6,13,4145
P00145942,M,26-35,6,8,13,20474
P00050442,M,46-50,1,8,13,15233
P00148642,F,36-45,6,10,13,12642
P00015942,M,36-45,6,10,13,16446
P00088242,F,36-45,6,10,13,12053
P00148642,F,46-50,6,10,13,15943
P00148642,F,51-55,6,10,13,12014
P00150942,M,18-25,6,11,13,20585
P00346442,M,26-35,1,2,14,3877
P00112142,F,26-35,1,2,14,12063
P00112142,F,36-45,1,2,14,19703
P00112142,M,46-50,1,2,14,19072
P00227642,F,0-17,1,5,14,15837
P00171542,M,18-25,2,5,14,3581
P00227642,M,26-35,1,5,14,11723
P00248942,F,0-17,1,6,14,15200
P00248942,M,18-25,1,6,14,11429
P00248942,M,18-25,1,6,14,19146
P00248942,F,26-35,1,6,14,15774
P00173342,M,26-35,1,6,14,4121
P00248942,M,26-35,1,6,14,11754
P00248942,F,36-45,1,6,14,15659
P00274342,F,18-25,2,8,14,6434
P00001142,M,18-25,5,8,14,3613
P00081142,M,18-25,6,8,14,12146
P00303442,M,26-35,1,8,14,11927
P00078742,M,26-35,5,8,14,5391
P00289342,M,26-35,5,8,14,3702
P00115342,M,26-35,5,8,14,6922
P00303842,M,26-35,5,8,14,5463
P00303842,F,26-35,5,8,14,8779
P00289342,M,26-35,5,8,14,5267
P00028542,M,26-35,6,8,14,16137
P00345842,M,26-35,2,8,14,16235
P00345842,M,36-45,2,8,14,16137
P00205442,F,36-45,5,8,14,7035
P00345842,M,36-45,2,8,14,9569
P00188542,F,36-45,5,8,14,5247
P00081142,F,36-45,6,8,14,16004
P00141942,M,46-50,5,8,14,3746
P00205442,M,46-50,5,8,14,6875
P00231342,F,51-55,5,8,14,5378
P00324742,F,18-25,2,9,14,16454
P00192042,M,26-35,5,9,14,6871
P00024142,M,26-35,8,9,14,10021
P00192042,M,26-35,5,9,14,5267
P0099042,M,18-25,5,12,14,8850
P00128242,F,26-35,5,12,14,7035
P00088542,F,36-45,5,12,14,6964
P00127842,M,0-17,1,2,15,11959
P00125942,M,0-17,1,2,15,19172
P00046742,M,18-25,1,2,15,15770
P00154042,F,18-25,1,2,15,19027
P00142142,F,18-25,1,2,15,4530
P00270942,M,18-25,1,2,15,12017
P00046742,M,18-25,1,2,15,15470
P00127442,M,26-35,1,2,15,8066
P00046742,M,26-35,1,2,15,19433
P00142142,M,26-35,1,2,15,11965
P00030842,M,26-35,1,2,15,15549
P00146142,M,26-35,1,2,15,11793
P00243942,M,26-35,1,2,15,19171
P00244142,M,26-35,1,2,15,12004
P00244142,M,26-35,1,2,15,8147
P00105142,F,26-35,1,2,15,15584
P00079742,M,26-35,1,2,15,8300
P00125942,M,26-35,1,2,15,15783
P00127842,F,26-35,1,2,15,15311
P00030842,M,26-35,1,2,15,7835
P00244242,F,36-45,1,2,15,11755
P00270942,M,36-45,1,2,15,19239
P00032042,M,36-45,1,2,15,11887
P00127642,M,36-45,1,2,15,15909
P00191442,M,36-45,1,2,15,15687
P00127642,M,36-45,1,2,15,19062
P00127542,F,36-45,1,2,15,3836
P00345742,M,36-45,1,2,15,11475
P00105142,M,51-55,1,2,15,8144
P00118342,F,18-25,2,3,15,15985
P00350442,M,36-45,2,3,15,3688
P00225842,M,18-25,2,4,15,9564
P00295942,M,18-25,2,5,15,16241
P00249542,M,26-35,1,5,15,19614
P00295942,M,36-45,2,5,15,6807
P00277442,M,18-25,1,6,15,11896
P00019342,M,18-25,1,6,15,11374
P00277442,M,26-35,1,6,15,15445
P00277442,M,26-35,1,6,15,11396
P00277442,M,36-45,1,6,15,15744
P00019342,M,51-55,1,6,15,15872
P00129842,M,26-35,6,8,15,16306
P00275842,M,26-35,2,9,15,16171
P00112542,M,0-17,1,11,15,7746
P00209742,M,26-35,1,11,15,19662
P00112542,M,26-35,1,11,15,15895
P00155442,M,26-35,1,11,15,11533
P00241242,M,26-35,1,11,15,15402
P00155442,F,36-45,1,11,15,15212
P00059742,M,36-45,1,11,15,19498
P00086442,M,26-35,8,13,15,7869
P00086442,F,46-50,8,13,15,5886
P00034042,M,18-25,1,2,16,11463
P00078542,M,26-35,1,2,16,11853
P00351342,M,26-35,1,2,16,8337
P00234842,F,0-17,5,6,16,2007
P00000642,M,18-25,1,6,16,19060
P00352142,M,18-25,1,6,16,15387
P00016542,M,26-35,1,6,16,11937
P00208742,M,26-35,1,6,16,8058
P00000642,M,26-35,1,6,16,15525
P00000642,F,26-35,1,6,16,15678
P00000642,M,36-45,1,6,16,12015
P00000642,M,36-45,1,6,16,18971
P00193042,M,51-55,5,6,16,7114
P00234842,M,55+,5,6,16,8714
P00059442,M,0-17,6,8,16,20679
P00059442,M,18-25,6,8,16,16709
P00028442,M,26-35,1,8,16,15285
P00148842,M,26-35,6,8,16,16477
P00028442,M,26-35,1,8,16,15901
P00137542,M,26-35,1,8,16,15161
P00059442,M,36-45,6,8,16,12486
P00028442,M,36-45,1,8,16,7762
P00262242,M,18-25,1,11,16,12098
P00262242,F,18-25,1,11,16,15871
P00262242,M,51-55,1,11,16,15257
P00324442,M,26-35,11,13,16,3101
P00160042,M,26-35,1,13,16,19416
P00116142,M,26-35,10,13,16,9732
P00346542,M,26-35,10,13,16,14070
P00346542,M,36-45,10,13,16,14650
P00034442,F,18-25,1,14,16,19313
P00087042,M,18-25,10,14,16,23233
P00036842,M,26-35,1,14,16,4528
P00154742,F,26-35,8,14,16,8124
P00036842,M,36-45,1,14,16,11788
P00036842,F,36-45,1,14,16,11694
P00036842,M,36-45,1,14,16,15351
P00036842,M,36-45,1,14,16,15635
P00087042,M,46-50,10,14,16,19131
P00087342,M,46-50,5,14,16,6863
P00057442,F,46-50,5,14,16,5332
P00233342,M,18-25,1,15,16,4304
P00345642,M,18-25,1,15,16,8067
P00329542,M,18-25,1,15,16,15879
P00345642,M,26-35,1,15,16,15812
P00114942,M,26-35,1,15,16,15783
P00016742,M,26-35,1,15,16,15859
P00151742,M,26-35,8,15,16,5851
P00165442,M,26-35,1,15,16,11846
P00233342,M,26-35,1,15,16,3847
P00329542,F,26-35,1,15,16,7773
P00159542,F,26-35,10,15,16,23595
P00111142,M,26-35,1,15,16,19696
P00111142,F,36-45,1,15,16,18963
P00237542,M,36-45,1,15,16,11370
